,Rank,Country/Region,Electricity consumption (GWÂ·h/yr),Year of data,Source,Population,As of,Average electrical energy per capita (kWh per person per year),Average power per capita (watts per person)
81,82,Slovenia,14023,2019 est.,EIA,2087950,2019,6716.0,766.0
82,83,Turkmenistan,15090,2018 est.,EIA,5942090,2019,2540.0,290.0
83,84,Tajikistan,16085,2019 est.,EIA,9321020,2019,1726.0,197.0
84,85,Mozambique,13390,2018 est.,EIA,30366040,2019,441.0,50.0
85,86,Kyrgyzstan,11740,2018 est.,EIA,6456900,2019,1818.0,207.0
86,87,Sri Lanka,13438,2018 est.,EIA,21803000,2019,616.0,70.0
87,88,Zambia,13097,2018 est.,EIA,17861030,2019,733.0,84.0
88,89,Bosnia and Herzegovina,12253,2018 est.,EIA,3301000,2019,3712.0,423.0
89,90,Myanmar,18024,2018 est.,EIA,54045420,2019,333.0,38.0
90,91,Uruguay,11812,2018 est.,EIA,3461730,2019,3412.0,389.0
91,92,Lithuania,11306,2019 est.,EIA,2786840,2019,4057.0,463.0
92,93,Sudan,11463,2018 est.,EIA,42813240,2019,268.0,31.0
93,94,Georgia,12179,2019 est.,EIA,3720380,2019,3274.0,373.0
94,95,Paraguay,13097,2018 est.,EIA,7044640,2019,1859.0,212.0
95,96,Libya,25693,2018 est.,EIA,6777450,2019,3791.0,432.0
96,97,"Congo, Democratic Republic of the",8594,2018 est.,EIA,86790570,2019,99.0,11.0
97,98,Costa Rica,10065,2018 est.,EIA,5047560,2019,1994.0,227.0
98,99,Ghana,8842,2018 est.,EIA,30417860,2019,291.0,33.0
99,100,Trinidad and Tobago,8246,2018 est.,EIA,1394970,2019,5911.0,674.0
100,101,Guatemala,10570,2018 est.,EIA,16604030,2019,637.0,73.0
101,102,Estonia,8858,2019 est.,EIA,1326590,2019,6677.0,762.0
102,103,Angola,10364,2018 est.,EIA,31825290,2019,326.0,37.0
103,104,Zimbabwe,7401,2018 est.,EIA,14645470,2019,505.0,58.0
104,105,Panama,9258,2018 est.,EIA,4246440,2019,2180.0,249.0
105,106,Albania,4849,2018 est.,EIA,2854190,2019,1699.0,194.0
106,107,Kenya,8722,2018 est.,EIA,52573970,2019,166.0,19.0
107,108,Bolivia,9057,2019 est.,EIA,11513100,2019,787.0,90.0
108,109,North Macedonia,7024,2019 est.,EIA,2083460,2019,3371.0,385.0
109,110,Latvia,6877,2019 est.,EIA,1912790,2019,3595.0,410.0
110,111,Ethiopia,8986,2018 est.,EIA,112078730,2019,80.0,9.0
111,112,Luxembourg,5817,2019 est.,EIA,619900,2019,9383.0,1070.0
112,113,Cameroon,6743,2018 est.,EIA,25876380,2019,261.0,30.0
113,114,Ivory Coast,6686,2018 est.,EIA,25716540,2019,260.0,30.0
114,115,El Salvador,6212,2019 est.,EIA,6453550,2019,963.0,110.0
115,116,Mongolia,6933,2018 est.,EIA,3225170,2019,2150.0,245.0
116,117,Honduras,6696,2018 est.,EIA,9746120,2019,687.0,78.0
117,118,West Bank,5496,2018 est.,EIA,2697687,2016,1103.0,126.0
118,119,Yemen,2653,2018 est.,EIA,29161920,2019,91.0,10.0
119,120,Armenia,5791,2019 est.,EIA,2957730,2019,1958.0,223.0
120,121,Tanzania,5813,2018 est.,EIA,58005460,2019,100.0,11.0
121,122,Afghanistan,6023,2018 est.,EIA,38041750,2019,158.0,18.0
122,123,Macau,5378,2018 est.,EIA,640450,2019,8397.0,958.0
123,124,Nicaragua,3738,2018 est.,EIA,6545500,2019,571.0,65.0
124,125,Moldova,5957,2019 est.,EIA,2657640,2019,2241.0,256.0
125,126,Cambodia,8402,2018 est.,EIA,16486540,2019,510.0,58.0
126,127,Laos,4059,2018 est.,EIA,7169450,2019,566.0,65.0
127,128,Nepal,6562,2018 est.,EIA,28608710,2019,229.0,26.0
128,129,Cyprus,4524,2019 est.,EIA,1198580,2019,3774.0,431.0
129,130,Brunei,3555,2018 est.,EIA,433290,2019,8206.0,936.0
130,131,Botswana,3301,2018 est.,EIA,2303700,2019,1433.0,163.0
131,132,Namibia,4184,2018 est.,EIA,2494530,2019,1677.0,191.0
132,133,Papua New Guinea,3777,2018 est.,EIA,8776110,2019,430.0,49.0
133,134,Senegal,3842,2018 est.,EIA,16296360,2019,236.0,27.0
134,135,Kosovo,5715,2019 est.,EIA,1794250,2019,3185.0,363.0
135,136,Montenegro,2998,2018 est.,EIA,622140,2019,4818.0,550.0
136,137,Jamaica,3025,2018 est.,EIA,2948280,2019,1026.0,117.0
137,138,Uganda,3534,2018 est.,EIA,44269590,2019,80.0,9.0
138,139,Mauritius,2800,2018 est.,EIA,1265710,2019,2212.0,252.0
139,140,Gabon,2230,2018 est.,EIA,2172580,2019,1027.0,117.0
140,141,Bhutan,2386,2018 est.,EIA,763090,2019,3126.0,357.0
141,142,New Caledonia,2741,2018 est.,EIA,287800,2019,9524.0,1086.0
142,143,Malta,2456,2019 est.,EIA,502650,2019,4886.0,557.0
143,144,Suriname,1663,2018 est.,EIA,581360,2019,2861.0,326.0
144,145,Malawi,1515,2018 est.,EIA,18628750,2019,81.0,9.0
145,146,Bahamas,1770,2018 est.,EIA,389480,2019,4545.0,518.0
146,147,Guam,1639,2018 est.,EIA,167290,2019,9797.0,1118.0
147,148,Swaziland,1682,2018 est.,EIA,1148130,2019,1465.0,167.0
148,149,Mali,3040,2018 est.,EIA,19658030,2019,155.0,18.0
149,150,Liechtenstein,394,2015 est.,CIA,38020,2019,10352.0,1181.0
150,151,Madagascar,2117,2018 est.,EIA,26969310,2019,78.0,9.0
151,152,Burkina Faso,1760,2018 est.,EIA,20321380,2019,87.0,10.0
152,153,Niger,1586,2018 est.,EIA,23310720,2019,68.0,8.0
153,154,Togo,1251,2018 est.,EIA,8082370,2019,155.0,18.0
